Date,Offence Category,Offence,Victim Tally,County,Specific Area,Victim Gender,Victim Age,Perpetrator Tally,Perpetrator Gender,Perpetrator Age,Motive,Weapon,Source,Case Summary,Year,Month,Quarter
2025-01-01,Homicide & Unlawful Killing,Murder,1,Nakuru,,Female,,2.0,Male and Female,,Unknown,Unknown,Daily Nation Pg 15,"A man and his lover linked to the gruesome murder of a woman in Bahati on Christmas Day will be detained for 21 days pending police investigations. The two, believed to be lovers, are suspected of killing Ms Tabitha Wambui, stashing her mutilated body in a gunny bag on December 25, and fleeing. Police stated Ms Njoki was seen with Ms Wambui at a bar in the Ngomongo area of Mawanga estate on Christmas morning.",2025,2025-01,2025 Q1
2025-01-01,Homicide & Unlawful Killing,Murder,1,Tana River,,Male,,20.0,Unknown,,Harassment,Firearm,The Standard Pg 16,"A family from Kone village in Garsen constituency, Tana River County, is seeking justice for its kin who was allegedly shot dead by Kenya Wildlife Service (KWS) officers at his home. Isack Jarso, was shot at close range by people believed to be KWS officers after he allegedly refused to give them unknown number of goats as gifts. The alleged officers numbering about 20 stormed his home and started searching for him before spraying him with bullets and sped off.",2025,2025-01,2025 Q1
2025-01-02,Fraud & Financial Crimes,Fraud,309,Embu,,Male and Female,,,Unknown,,Land resource gain,Unknown,Daily Nation Pg 15,"A bitter row has erupted at a vast group ranch in Iloodokilani in Kajiado West Sub-County after it emerged that more than 60 per cent of the original members have died. The members say the administration officers have been on a grabbing spree using one of the officials following the failing health of his two top colleagues. Chairman of the ranch, Maimpi Ole Katie, and his treasurer, who have been acting in the position since 1989, were taken ill five years ago after losing their eyesight due to old age. The health concerns of the two officials have now become a major cause of unrest among the members, a gap they say has left the members exposed to fraudulent dealings at the vast ranch.",2025,2025-01,2025 Q1
2025-01-02,Assault & Bodily Harm,Assault,1,Busia,,Male and Female,,1.0,Male,,Retaliation,Tear gas,Daily Nation Pg 16,"A police officer accused of throwing tear gas at a public event in Shamata triggered chaos and was later violently attacked by a mob, leading to an ongoing investigation into assault, public disturbance, and improper police conduct.",2025,2025-01,2025 Q1
2025-01-02,Environmental & Wildlife Crimes,Poaching,1,Bomet,,Unknown,,3.0,Male,,Financial gain,Unknown,Daily Nation Pg 16,"Three suspects including a KDF sergeant were arrested in Homa Bay for possessing and transporting a rhino horn valued at KSh 2.9 million, believed to have been illegally obtained from Ruma National Park.",2025,2025-01,2025 Q1
2025-01-02,Abduction & Kidnapping,Abduction,1,Kirinyaga,,Male,,3.0,Male,,Intimidation,Unknown,The Standard Pg 10,"Billy Mwangi, a 24-year-old Kenyan student and government critic, was abducted by four unidentified men from a barbershop in Embu town on December 21, 2024, held in a dark room where he was tortured, and released traumatized on January 6, 2025, amid national protests.",2025,2025-01,2025 Q1
2025-01-02,Homicide & Unlawful Killing,Homicide,1,Nakuru,,Female,,1.0,Female,,Punishment,Unknown,The Standard Pg 10,"A 14-year-old Kenyan girl, Varshti Hainyi, died after being physically beaten by her mother at their home in Limara Village, Teso South, Busia County, allegedly as punishment for returning home intoxicated, prompting the father to seek justice.",2025,2025-01,2025 Q1
2025-01-02,Abduction & Kidnapping,Abduction,2,Bomet,,Male,,,Unknown,,Unknown,Vehicle,The Standard Pg 10,"Two young men from Bomet County were forcibly abducted while traveling to Nairobi on 5 December 2024 and remain missing weeks later, with perpetrators unknown and motive unverified.",2025,2025-01,2025 Q1
2025-01-03,"Robbery, Theft & Burglary",Stealing,1,Uasin Gishu,,Male,,2.0,Male,,Financial gain,Unknown,The Standard Pg 3,"Two suspects accused of stealing money and items from the house of Eldoret High Court presiding judge Reuben Nyakundi have been arraigned. The Judge is said to have entrusted Crispus Namwalto and Lameck Ondiek with moving his belongings from his house on the outskirts of Eldoret town to a new residence. It was later discovered that his watches and other personal items, including an undis-closed amount of cash, were missing.",2025,2025-01,2025 Q1
2025-01-03,Homicide & Unlawful Killing,Murder,3,Elgeyo Marakwet,,Male,,,Unknown,,Land resource gain,Firearm,The Standard Pg 5,"Three men were shot dead in a fierce battle over disputed land. The Kasui and Kiptakitwa clans, which have been embroiled in a long-standing dispute over a piece of land in Mogil, Kerio Valley, Elgeyo Marakwet County, faced off in a morning gun battle. According to police reports, the battle began at 6am. By 10am, when the gunfire subsided, three young men were dead.",2025,2025-01,2025 Q1
2025-01-03,Homicide & Unlawful Killing,Murder,1,Kirinyaga,,Female,,1.0,Male,,Unknown,Unknown,Daily Nation Pg 19,"Purity Makena, a housewife, woke up as usual after celebrating Christmas and went about her daily work in Mahigaini village, Kirinyaga County. That evening, Makena mysteriously disappeared, only to be found the following day, December 27, brutally murdered and dumped on the banks of the Thiba River. Her husband turned himself in at Wang’uru Police Station after enraged residents destroyed his house and threatened to lynch him. He confessed to have murdered his wife.",2025,2025-01,2025 Q1
2025-01-04,Homicide & Unlawful Killing,Murder,1,Bomet,,Male,,1.0,Male,,Anger,Screw Driver,The Standard Pg 3,"The Nyumba kumi elder,Benard Koros was stabbed with a screwdriver in the neck when he was trying to solve a family dispute where the suspect was threatening to kill his parents.",2025,2025-01,2025 Q1
2025-01-04,Abduction & Kidnapping,Abduction,2,Nakuru,,Male,,4.0,Male,,Intimidation,Unknown,The Standard Pg 5,The two brothers were picked up by four men driving a toyota probox and claimed to be police officers.,2025,2025-01,2025 Q1
2025-01-04,Homicide & Unlawful Killing,Murder,2,Nandi,,Male,,,Unknown,,Anger,Unknown,The Standard pg 7,Two suspects were murded at Cheswerta police station by angry locals with the allegations that they killed Enock kiplangat a resident of their area.,2025,2025-01,2025 Q1
2025-01-04,Assault & Bodily Harm,Assault,1,Murang'a,,Male,,1.0,Male,,Harm,Spear,The Standard Pg 7,Police constable Jamleck Mutua had gone to the suspects home to make inquiries about the injured sheep before the suspect fired a spear that hit his left thigh.,2025,2025-01,2025 Q1
2025-01-04,Assault & Bodily Harm,Attempted Assault,1,Nyandarua,,Male,,1.0,Male,,Intimidation,Tear gas,Daily Nation Pg 4,A police constable attacked Rigathi's Gachaguas prayer rally by throwing a teargas canister near the podium causing chaos.,2025,2025-01,2025 Q1
2025-01-05,Homicide & Unlawful Killing,Murder,1,Busia,,Male,,,Unknown,,Anger,Unknown,Daily Nation Pg 11,"A middle-aged man, Mr Jotham Oduor was attacked and killed by a mob after being accused of stabbing to death Mt Naman Ochieng.",2025,2025-01,2025 Q1
2025-01-05,Homicide & Unlawful Killing,Murder,1,Nairobi,,Male,,,Unknown,,Unknown,Unknown,Daily Nation Pg 5,"The lifeless body of Ian Sangoe, an engineer, was found in Mwiki, Kasarani after a search by family, relatives and friends under unclear circumstances. The 26 year old had been missing for four days",2025,2025-01,2025 Q1
2025-01-05,Homicide & Unlawful Killing,Murder,1,Kiambu,,Male,,,Unknown,,Unknown,Unknown,Daily Nation Pg 5,"In Kiambu County, 27-year-old, John Muchiri Muthoni was found dead by the road side in Kawaida area  on Saturday, hours after he had left for the club in the neighborhood with a friend.",2025,2025-01,2025 Q1
2025-01-05,Homicide & Unlawful Killing,Murder,1,Mombasa,,Male,,,Unknown,,Anger,Unknown,Daily Nation Pg 10,"An angry mob lynched a man at Vyemani Grounds in Likoni, Mombasa County after he brandished an AK-47 rifle and fired multiple shots, causing panic in the area.",2025,2025-01,2025 Q1
2025-01-05,Homicide & Unlawful Killing,Murder,1,Busia,,Male,,1.0,Male,,Unknown,Unknown,Daily Nation Pg 11,"Mr Jotham Oduor was accused of stabbing to death Mr Naman Ochieng from Lubanga Village, Matungu sub-county, Kakamega.",2025,2025-01,2025 Q1
